Policy,Seed,MeanPowerW,EnergyWh,EnduranceHours,MinimumGroundSpeed,MaximumGroundSpeed,RateViolations,BoundViolations,BlockedFraction,RadialRms,PowerCoverage,WindMode,WindObservation
baseline,2014,484.459407269344,16.1486469089781,0.30962346431763,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2014,474.547170777062,15.8182390259021,0.316090810855279,3.30674483069686,8.37229176433617,0,0,0,0,1,irregular,observable
td3_agent,2014,495.695263080167,16.5231754360056,0.302605272174531,3.30867362372891,6.22452095135285,0,0,0,0,1,irregular,observable
fixed,2015,472.463612005936,15.7487870668645,0.317484767479015,6.3,6.3,0,0,0,0,1,irregular,observable
baseline,2015,472.463612005936,15.7487870668645,0.317484767479015,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2015,466.773647912963,15.5591215970988,0.3213549022544,3.52734787658777,8.06790921506897,0,0,0,0,1,irregular,observable
td3_agent,2015,509.275281163954,16.9758427054651,0.294536188085103,3.3093854435938,6.22452095135285,0,0,0,0,1,irregular,observable
fixed,2016,475.234629084983,15.8411543028328,0.315633564601153,6.3,6.3,0,0,0,0,1,irregular,observable
baseline,2016,475.234629084983,15.8411543028328,0.315633564601153,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2016,473.229139311045,15.7743046437015,0.316971182751719,3.30126490884263,8.4817461629248,0,0,0,0,1,irregular,observable
td3_agent,2016,529.389147162456,17.6463049054152,0.283345438424654,3.30824648125247,6.22452095135285,0,0,0,0,1,irregular,observable
fixed,2017,482.397910870191,16.0799303623397,0.310946620248452,6.3,6.3,0,0,0,0,1,irregular,observable
baseline,2017,482.397910870191,16.0799303623397,0.310946620248452,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2017,473.706227823154,15.7902075941051,0.316651948380123,3.31072283131613,9.1096584875656,0,0,0,0,1,irregular,observable
td3_agent,2017,499.826519240632,16.6608839746877,0.300104124582844,3.30902191046438,6.22452095135285,0,0,0,0,1,irregular,observable
fixed,2018,475.079677628883,15.8359892542961,0.315736511291428,6.3,6.3,0,0,0,0,1,irregular,observable
baseline,2018,475.079677628883,15.8359892542961,0.315736511291428,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2018,471.549249549298,15.7183083183099,0.318100389605897,3.30002952320992,7.90003838049142,0,0,0,0,1,irregular,observable
td3_agent,2018,505.30882471075,16.8436274903583,0.29684817019743,3.30879054174068,6.22452095135285,0,0,0,0,1,irregular,observable
fixed,2019,488.39607532509,16.279869177503,0.307127775136514,6.3,6.3,0,0,0,0,1,irregular,observable
baseline,2019,488.39607532509,16.279869177503,0.307127775136514,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2019,486.643040139944,16.2214346713315,0.3082341421278,3.30635870698498,8.42394639904056,0,0,0,0,1,irregular,observable
td3_agent,2019,513.042943296111,17.1014314432037,0.292373186221616,3.30821872093125,6.22452095135285,0,0,0,0,1,irregular,observable
fixed,2020,475.042540444923,15.8347513481641,0.315761194480626,6.3,6.3,0,0,0,0,1,irregular,observable
baseline,2020,475.042540444923,15.8347513481641,0.315761194480626,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2020,471.413373704818,15.7137791234939,0.318192075929362,3.30163861045247,8.51443697980237,0,0,0,0,1,irregular,observable
td3_agent,2020,521.269553748169,17.3756517916056,0.287758989416187,3.30919439939282,6.22452095135285,0,0,0,0,1,irregular,observable
