Algorithm,Scenario,Seed,FinalErr,RegretPercent,MOE_energy,EnergyExcessPercent,TSearchOrRecovery,SearchSteps,BudgetUtilization,EnergyOn
ea_multistart,ramp,20,0.171881697595414,0.222715521370596,0.948721026119646,5.40506349796946,0,208,1,1
tracker,ramp,20,2.66453525910038e-15,0.0125000000000005,0.999609861491208,0.0390290776253437,0,118,1,1
ea_multistart,offset,11,0.0780330966835985,0.0443368997144753,0.949542881848951,5.31383248882864,0,208,1,1
tracker,offset,11,4.44089209850063e-15,0.0119047619047624,0.999733501442587,0.0266569597826355,0,70,1,1
ea_multistart,offset,12,0.100798792640028,0.0737789534464271,0.949666345838454,5.30014087390938,0,208,1,1
tracker,offset,12,4.44089209850063e-15,0.0119047619047624,0.999733501442587,0.0266569597826355,0,70,1,1
ea_multistart,offset,13,0.161059199686141,0.186378457191118,0.948898180805634,5.38538488407467,0,208,1,1
tracker,offset,13,4.44089209850063e-15,0.0119047619047624,0.999733501442587,0.0266569597826355,0,70,1,1
ea_multistart,offset,14,0.0393882928155644,0.0113308761192433,0.949538162217832,5.31435594587417,0,208,1,1
tracker,offset,14,4.44089209850063e-15,0.0119047619047624,0.999733501442587,0.0266569597826355,0,70,1,1
ea_multistart,offset,15,0.0808759999948059,0.0476118863203748,0.950313188060581,5.22846705314282,0,208,1,1
tracker,offset,15,4.44089209850063e-15,0.0119047619047624,0.999733501442587,0.0266569597826355,0,70,1,1
ea_multistart,offset,16,0.00728304333474927,0.000387785274342258,0.949817562827817,5.2833764226025,0,208,1,1
tracker,offset,16,4.44089209850063e-15,0.0119047619047624,0.999733501442587,0.0266569597826355,0,70,1,1
ea_multistart,offset,17,0.0474780051297925,0.0164554383261086,0.950776291449456,5.17721245189054,0,208,1,1
tracker,offset,17,4.44089209850063e-15,0.0119047619047624,0.999733501442587,0.0266569597826355,0,70,1,1
ea_multistart,offset,18,0.149173215327725,0.16028053276444,0.949330392659432,5.33740494693559,0,208,1,1
tracker,offset,18,4.44089209850063e-15,0.0119047619047624,0.999733501442587,0.0266569597826355,0,70,1,1
ea_multistart,offset,19,0.120460038256662,0.105060780435128,0.948854965486426,5.39018463030913,0,208,1,1
tracker,offset,19,4.44089209850063e-15,0.0119047619047624,0.999733501442587,0.0266569597826355,0,70,1,1
