Algorithm,Seed,EnergyOn,FinalError,HitsGlobal,SteadyRegretPercent,EnergyExcessPercent,EvalsToEps,ScanSteps,RefineSteps
filter_argmin,15,0,0.333333333333333,1,0.79297056687819,NaN,62,61,0
filter_argmin,16,1,0,1,0,2.90729997875969,62,61,0
filter_argmin,16,0,0,1,0,NaN,62,61,0
filter_argmin,17,1,0,1,0,2.90729997875969,62,61,0
filter_argmin,17,0,0,1,0,NaN,62,61,0
filter_argmin,18,1,0,1,0,2.90729997875969,62,61,0
filter_argmin,18,0,0,1,0,NaN,62,61,0
filter_argmin,19,1,0,1,0,2.90729997875969,62,61,0
filter_argmin,19,0,0,1,0,NaN,62,61,0
filter_argmin,20,1,0.333333333333333,1,0.79297056687819,3.57934253418898,62,61,0
filter_argmin,20,0,0.333333333333333,1,0.79297056687819,NaN,62,61,0
filter_argmin,21,1,0,1,0,2.90729997875969,62,61,0
filter_argmin,21,0,0,1,0,NaN,62,61,0
filter_argmin,22,1,0,1,0,2.90729997875969,62,61,0
filter_argmin,22,0,0,1,0,NaN,62,61,0
filter_argmin,23,1,0,1,0,2.90729997875969,62,61,0
filter_argmin,23,0,0,1,0,NaN,62,61,0
filter_argmin,24,1,0,1,0,2.90729997875969,62,61,0
filter_argmin,24,0,0,1,0,NaN,62,61,0
filter_argmin,25,1,0,1,0,2.90729997875969,62,61,0
filter_argmin,25,0,0,1,0,NaN,62,61,0
filter_argmin,26,1,0,1,0,2.90729997875969,62,61,0
filter_argmin,26,0,0,1,0,NaN,62,61,0
filter_argmin,27,1,0,1,0,2.90729997875969,62,61,0
filter_argmin,27,0,0,1,0,NaN,62,61,0
filter_argmin,28,1,0,1,0,2.90729997875969,62,61,0
filter_argmin,28,0,0,1,0,NaN,62,61,0
filter_argmin,29,1,0,1,0,2.90729997875969,62,61,0
filter_argmin,29,0,0,1,0,NaN,62,61,0
filter_argmin,30,1,0,1,0,2.90729997875969,62,61,0
filter_argmin,30,0,0,1,0,NaN,62,61,0
multistart,11,1,0.172874851673628,1,0.225244957018362,4.62227312011647,19,61,112
multistart,11,0,0.172874851673628,1,0.225244957018362,NaN,19,61,112
multistart,12,1,0.197712996567986,1,0.292805444672931,5.16300975373785,19,61,112
multistart,12,0,0.197712996567986,1,0.292805444672931,NaN,19,61,112
multistart,13,1,0.172178830573875,1,0.22347087602352,4.90061739058153,19,61,140
multistart,13,0,0.172178830573875,1,0.22347087602352,NaN,19,61,140
multistart,14,1,0.0485882851068933,1,0.0181247986671634,4.49011236388626,19,61,112
multistart,14,0,0.0485882851068933,1,0.0181247986671634,NaN,19,61,112
multistart,15,1,0.0959267174492595,1,0.0703228973538301,4.5387385848349,19,61,112
multistart,15,0,0.0959267174492595,1,0.0703228973538301,NaN,19,61,112
multistart,16,1,0.0668840077604731,1,0.0342956752354442,5.25601707725379,19,61,140
